"Year","County Code","County Name","GEOID","Month","Small Farm Unreported (mg)"
2002,127,"NEW KENT",51127,5,0.547725
2002,127,"NEW KENT",51127,6,1.12052
2002,127,"NEW KENT",51127,7,1.70912
2002,127,"NEW KENT",51127,8,1.393565
2002,127,"NEW KENT",51127,9,0.49268
2002,127,"NEW KENT",51127,10,0.103005
2002,127,"NEW KENT",51127,11,0.01417
2002,127,"NEW KENT",51127,12,0.00436
2002,69,"FREDERICK",51069,1,0.011835
2002,69,"FREDERICK",51069,2,0.016569
2002,69,"FREDERICK",51069,3,0.075744
2002,69,"FREDERICK",51069,4,4.658256
2002,69,"FREDERICK",51069,5,3.853476
2002,69,"FREDERICK",51069,6,3.990762
2002,69,"FREDERICK",51069,7,4.248765
2002,69,"FREDERICK",51069,8,4.549374
2002,69,"FREDERICK",51069,9,1.993014
2002,69,"FREDERICK",51069,10,0.139653
2002,69,"FREDERICK",51069,11,0.075744
2002,69,"FREDERICK",51069,12,0.054441
2002,3,"ALBEMARLE",51003,1,0
2002,3,"ALBEMARLE",51003,2,0
2002,3,"ALBEMARLE",51003,3,0
2002,3,"ALBEMARLE",51003,4,0
2002,3,"ALBEMARLE",51003,5,0
2002,3,"ALBEMARLE",51003,6,10.668933
2002,3,"ALBEMARLE",51003,7,10.668933
2002,3,"ALBEMARLE",51003,8,10.668933
2002,3,"ALBEMARLE",51003,9,0
2002,3,"ALBEMARLE",51003,10,0
2002,3,"ALBEMARLE",51003,11,0
2002,3,"ALBEMARLE",51003,12,0
2002,49,"CUMBERLAND",51049,1,1.047858
2002,49,"CUMBERLAND",51049,2,0.209408
2002,49,"CUMBERLAND",51049,3,1.082214
2002,49,"CUMBERLAND",51049,4,0.349286
2002,49,"CUMBERLAND",51049,5,0.279756
2002,49,"CUMBERLAND",51049,6,1.470764
2002,49,"CUMBERLAND",51049,7,0.104704
2002,49,"CUMBERLAND",51049,8,1.401234
2002,49,"CUMBERLAND",51049,9,0.628224
2002,49,"CUMBERLAND",51049,10,0.90798
2002,49,"CUMBERLAND",51049,11,0.698572
2002,49,"CUMBERLAND",51049,12,0
2002,85,"HANOVER",51085,1,0.183456
2002,85,"HANOVER",51085,2,0.221676
2002,85,"HANOVER",51085,3,1.138956
2002,85,"HANOVER",51085,4,3.424512
2002,85,"HANOVER",51085,5,6.520332
2002,85,"HANOVER",51085,6,14.67648
2002,85,"HANOVER",51085,7,21.349692
2002,85,"HANOVER",51085,8,16.16706
2002,85,"HANOVER",51085,9,9.547356
2002,85,"HANOVER",51085,10,2.2932
2002,85,"HANOVER",51085,11,0.642096
2002,85,"HANOVER",51085,12,0.282828
2002,81,"GREENSVILLE",51081,1,0
2002,81,"GREENSVILLE",51081,2,0
2002,81,"GREENSVILLE",51081,3,0.03429
2002,81,"GREENSVILLE",51081,4,0.125857
2002,81,"GREENSVILLE",51081,5,0.165989
2002,81,"GREENSVILLE",51081,6,0.187071
2002,81,"GREENSVILLE",51081,7,0.324358
2002,81,"GREENSVILLE",51081,8,0.217424
